Parameter,Value,Unit,Description
c_eff,44030,[J/(m^2*K)],Effective thermal capacity per unit of area
A,1.33,[mÂ²],Area of the collector
n_0,0.651,[],Zero loss efficiency
a1,1.631,[W/(m^2*K)],Linear heat loss coefficient
a2,0.0096,[W/(m^2*K)],Quadratic heat loss coefficient
m,10,[kg/(h*m^2)] ,Mass flow per unit of area
Ta,5,[°C],Ambient temperature
G,700,[W/m^2],Solar irradiance on the collector plate
C_F,4180,[J/(K*kg)],Specific heat capacity of the fluid
T_Fin,10,[°C],Inlet temperature of the collector
